DN,ingredient,ingredient_smiles,active_ingredient,active_ingredient_SMILES
DN-0009,acamprosate calcium,CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],acamprosate,CC(=O)NCCCS(=O)(=O)O
DN-0011,acebutolol hydrochloride,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,acebutolol,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1
DN-0032,acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],acetylcholine,CC(=O)OCC[N+](C)(C)C
DN-0037,aclidinium bromide,C1C[N+]2(CCC1[C@H](C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5.[Br-],aclidinium,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1
DN-0041,acyclovir sodium,C1=NC2=C(N1COCCO)N=C(NC2=O)N,acyclovir,Nc1nc2c(ncn2COCCO)c(=O)[nH]1
DN-0055,albuterol sulfate,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.OS(=O)(=O)O,albuterol,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
DN-0062,alendronate sodium,C(CC(O)(P(=O)(O)O)P(=O)(O)[O-])CN.O.O.O.[Na+],alendronate,NCCCC(O)(P(=O)(O)O)P(=O)(O)O
DN-0088,amantadine hydrochloride,C1C2CC3CC1CC(C2)(C3)N.Cl,amantadine,NC12CC3CC(CC(C3)C1)C2
DN-0089,ambenonium chloride,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC2=CC=CC=C2Cl.[Cl-].[Cl-],ambenonium,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl
DN-0223,atropine sulfate,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.OS(=O)(=O)O,atropine,CN1[C@@H]2CC[C@H]1CC(OC(=O)C(CO)c1ccccc1)C2
