molecule_id,smiles
1143,CC(=O)NCCCS(=O)(=O)O
1144,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1
1145,CC(=O)OCC[N+](C)(C)C
1146,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1
1147,Nc1nc2c(ncn2COCCO)c(=O)[nH]1
1148,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
1149,NCCCC(O)(P(=O)(O)O)P(=O)(O)O
1150,NC12CC3CC(CC(C3)C1)C2
1151,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl
1152,CN1[C@@H]2CC[C@H]1CC(OC(=O)C(CO)c1ccccc1)C2
1153,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1
1154,O=C(O)CCNC(=O)c1ccc(N=Nc2ccc(O)c(C(=O)O)c2)cc1
1155,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21
1156,C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1
1157,CN1[C@@H]2CC[C@H]1CC(OC(c1ccccc1)c1ccccc1)C2
1158,C[N+](C)(C)CC(=O)[O-]
1159,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
1160,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
1161,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
1162,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1
1163,Cn1c(=O)c2c(ncn2C)n(C)c1=O
1164,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1
1165,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
1166,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
1167,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1
1168,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
1169,Clc1cccc(Cl)c1NC1=NCCN1
1170,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O
1171,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1
1172,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1
1173,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
1174,Cc1cccc([C@H](C)c2cnc[nH]2)c1C
1175,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1
1176,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
1177,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
1178,CCN(CC)C(C)C(=O)c1ccccc1
1179,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
1180,COc1cc(CC2c3c(cc(OC)c(OC)c3OC)CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCc3cc(OC)c(OC)c(OC)c3C2Cc2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC
1181,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
1182,CCOP(=O)(OCC)SCC[N+](C)(C)C
1183,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O
1184,CN[C@@H](C)[C@H](O)c1ccccc1
